DORN1337	101_nanopore.fastq.gz	DORN1337_longread.fastq.gz
DORN1373	103_nanopore.fastq.gz	DORN1373_longread.fastq.gz
DORN1395	105_nanopore.fastq.gz	DORN1395_longread.fastq.gz
DORN1410	107_nanopore.fastq.gz	DORN1410_longread.fastq.gz
DORN1471	117_nanopore.fastq.gz	DORN1471_longread.fastq.gz
DORN1496	120_nanopore.fastq.gz	DORN1496_longread.fastq.gz
DORN1502	123_nanopore.fastq.gz	DORN1502_longread.fastq.gz
DORN1520	124_nanopore.fastq.gz	DORN1520_longread.fastq.gz
DORN1523	125_nanopore.fastq.gz	DORN1523_longread.fastq.gz
DORN1546	128_nanopore.fastq.gz	DORN1546_longread.fastq.gz
DORN1575	133_nanopore.fastq.gz	DORN1575_longread.fastq.gz
DORN1585	134_nanopore.fastq.gz	DORN1585_longread.fastq.gz
DORN1602	137_nanopore.fastq.gz	DORN1602_longread.fastq.gz
DORN1646	141_nanopore.fastq.gz	DORN1646_longread.fastq.gz
DORN1731	148_nanopore.fastq.gz	DORN1731_longread.fastq.gz
DORN1755	165_nanopore.fastq.gz	DORN1755_longread.fastq.gz
DORN152	16_nanopore.fastq.gz	DORN152_longread.fastq.gz
DORN1794	173_nanopore.fastq.gz	DORN1794_longread.fastq.gz
DORN2166	186_nanopore.fastq.gz	DORN2166_longread.fastq.gz
DORN1881	188_nanopore.fastq.gz	DORN1881_longread.fastq.gz
DORN1943	189_nanopore.fastq.gz	DORN1943_longread.fastq.gz
DORN2093	193_nanopore.fastq.gz	DORN2093_longread.fastq.gz
DORN2059	198_nanopore.fastq.gz	DORN2059_longread.fastq.gz
DORN251	19_nanopore.fastq.gz	DORN251_longread.fastq.gz
DORN2205	205_nanopore.fastq.gz	DORN2205_longread.fastq.gz
DORN2136	208_nanopore.fastq.gz	DORN2136_longread.fastq.gz
DORN383	220_nanopore.fastq.gz	DORN383_longread.fastq.gz
DORN767	221_nanopore.fastq.gz	DORN767_longread.fastq.gz
DORN962	224_nanopore.fastq.gz	DORN962_longread.fastq.gz
DORN1081	229_nanopore.fastq.gz	DORN1081_longread.fastq.gz
DORN283	24_nanopore.fastq.gz	DORN283_longread.fastq.gz
DORN328	26_nanopore.fastq.gz	DORN328_longread.fastq.gz
DORN333	28_nanopore.fastq.gz	DORN333_longread.fastq.gz
DORN434	32_nanopore.fastq.gz	DORN434_longread.fastq.gz
DORN408	33_nanopore.fastq.gz	DORN408_longread.fastq.gz
DORN523	41_nanopore.fastq.gz	DORN523_longread.fastq.gz
DORN659	45_nanopore.fastq.gz	DORN659_longread.fastq.gz
DORN717	46_nanopore.fastq.gz	DORN717_longread.fastq.gz
DORN781	47_nanopore.fastq.gz	DORN781_longread.fastq.gz
DORN575	48_nanopore.fastq.gz	DORN575_longread.fastq.gz
DORN620	52_nanopore.fastq.gz	DORN620_longread.fastq.gz
DORN892	59_nanopore.fastq.gz	DORN892_longread.fastq.gz
DORN684	63_nanopore.fastq.gz	DORN684_longread.fastq.gz
DORN882	71_nanopore.fastq.gz	DORN882_longread.fastq.gz
DORN925	72_nanopore.fastq.gz	DORN925_longread.fastq.gz
DORN933	74_nanopore.fastq.gz	DORN933_longread.fastq.gz
DORN976	75_nanopore.fastq.gz	DORN976_longread.fastq.gz
DORN999	76_nanopore.fastq.gz	DORN999_longread.fastq.gz
DORN1000	77_nanopore.fastq.gz	DORN1000_longread.fastq.gz
DORN1037	78_nanopore.fastq.gz	DORN1037_longread.fastq.gz
DORN1061	80_nanopore.fastq.gz	DORN1061_longread.fastq.gz
DORN1088	81_nanopore.fastq.gz	DORN1088_longread.fastq.gz
DORN1194	82_nanopore.fastq.gz	DORN1194_longread.fastq.gz
DORN900	83_nanopore.fastq.gz	DORN900_longread.fastq.gz
DORN1151	84_nanopore.fastq.gz	DORN1151_longread.fastq.gz
DORN1176	85_nanopore.fastq.gz	DORN1176_longread.fastq.gz
DORN1197	86_nanopore.fastq.gz	DORN1197_longread.fastq.gz
DORN1214	88_nanopore.fastq.gz	DORN1214_longread.fastq.gz
DORN22	8_nanopore.fastq.gz	DORN22_longread.fastq.gz
DORN1258	91_nanopore.fastq.gz	DORN1258_longread.fastq.gz
DORN1285	92_nanopore.fastq.gz	DORN1285_longread.fastq.gz
DORN1340	96_nanopore.fastq.gz	DORN1340_longread.fastq.gz
DORN31	9_nanopore.fastq.gz	DORN31_longread.fastq.gz
