DORN1455	ARM110_nanopore.fastq.gz	DORN1455_longread.fastq.gz
DORN1540	ARM127_nanopore.fastq.gz	DORN1540_longread.fastq.gz
DORN76	ARM13_nanopore.fastq.gz	DORN76_longread.fastq.gz
DORN1610	ARM156_nanopore.fastq.gz	DORN1610_longread.fastq.gz
DORN1740	ARM158_nanopore.fastq.gz	DORN1740_longread.fastq.gz
DORN142	ARM15_nanopore.fastq.gz	DORN142_longread.fastq.gz
DORN1722	ARM167_nanopore.fastq.gz	DORN1722_longread.fastq.gz
DORN1782	ARM172_nanopore.fastq.gz	DORN1782_longread.fastq.gz
DORN1974	ARM196_nanopore.fastq.gz	DORN1974_longread.fastq.gz
DORN2109	ARM206_nanopore.fastq.gz	DORN2109_longread.fastq.gz
DORN243	ARM20_nanopore.fastq.gz	DORN243_longread.fastq.gz
DORN286	ARM216_nanopore.fastq.gz	DORN286_longread.fastq.gz
DORN1027	ARM227_nanopore.fastq.gz	DORN1027_longread.fastq.gz
DORN315	ARM22_nanopore.fastq.gz	DORN315_longread.fastq.gz
DORN459	ARM34_nanopore.fastq.gz	DORN459_longread.fastq.gz
DORN672	ARM53_nanopore.fastq.gz	DORN672_longread.fastq.gz
DORN807	ARM65_nanopore.fastq.gz	DORN807_longread.fastq.gz
DORN825	ARM67_nanopore.fastq.gz	DORN825_longread.fastq.gz
DORN880	ARM69_nanopore.fastq.gz	DORN880_longread.fastq.gz
DORN881	ARM70_nanopore.fastq.gz	DORN881_longread.fastq.gz
DORN1037	ARM78_nanopore.fastq.gz	DORN1037_longread.fastq.gz
DORN1038	ARM79_nanopore.fastq.gz	DORN1038_longread.fastq.gz
DORN1334	ARM94_nanopore.fastq.gz	DORN1334_longread.fastq.gz
DORN1353	ARM98_nanopore.fastq.gz	DORN1353_longread.fastq.gz
